fecha,victima,sexo,edad,fecha_fallecimiento,ID,n_victimas,hora,tipo_calle,calle,comuna,longitud,latitud,acusado
2016-05-04,PEATON,FEMENINO,57,2016-05-08,2016-0058,1,14:00:00,CALLE,LIMA,1,-58.38247542,-34.62556293,MOTO
2016-05-08,PEATON,MASCULINO,37,2016-05-26,2016-0059,1,16:30:00,CALLE,CIUDADELA,1,-58.38222219,-34.62728101,PASAJEROS
2016-05-20,PEATON,MASCULINO,20,2016-05-20,2016-0065,1,14:40:00,AVENIDA,GAONA AV.,6,-58.45227946,-34.61068024,AUTO
2016-05-23,AUTO,MASCULINO,30,2016-05-23,2016-0069,1,03:30:00,AVENIDA,ENTRE RIOS AV.,3,-58.39118948,-34.62704273,CARGAS
2016-06-12,PEATON,MASCULINO,42,2016-06-12,2016-0075,1,23:13:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47461076,-34.66874679,AUTO
2016-06-13,PEATON,FEMENINO,53,2016-06-13,2016-0076,1,16:20:00,AVENIDA,SAN MARTIN AV.,15,-58.46210891,-34.60356211,PASAJEROS
2016-06-27,PEATON,MASCULINO,87,2016-07-05,2016-0082,1,18:24:00,AVENIDA,LA PLATA AV.,4,-58.42273092,-34.64228803,AUTO
2016-06-28,PEATON,FEMENINO,76,2016-06-29,2016-0083,1,20:46:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",6,-58.44788671,-34.62539009,MOTO
2016-06-29,PEATON,MASCULINO,57,2016-07-08,2016-0084,1,22:00:00,CALLE,"PELLEGRINI, CARLOS",1,-58.38110563,-34.60135531,PASAJEROS
2016-06-30,PEATON,MASCULINO,75,2016-07-01,2016-0086,1,16:10:00,AVENIDA,OLIVERA AV.,10,-58.48727942,-34.63652467,PASAJEROS
2016-07-03,MOTO,MASCULINO,23,2016-07-03,2016-0087,1,00:10:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.37864583,-34.62907067,OBJETO FIJO
2016-07-11,PEATON,FEMENINO,70,2016-07-14,2016-0088,1,15:30:00,CALLE,CERETTI,12,-58.5015175,-34.56767549,AUTO
2016-07-14,PEATON,MASCULINO,35,2016-07-14,2016-0089,1,06:40:00,AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,-58.43233425,-34.55185825,AUTO
2016-07-14,PEATON,MASCULINO,60,2016-07-15,2016-0090,1,22:00:00,AVENIDA,"SALGUERO, JERONIMO",5,-58.41971993,-34.6111224,PASAJEROS
2016-07-15,MOTO,MASCULINO,24,2016-07-15,2016-0092,1,11:00:00,AUTOPISTA,"PAZ, GRAL. AV.",13,-58.46743471,-34.53476874,CARGAS
2016-07-17,AUTO,MASCULINO,35,2016-07-19,2016-0093,1,03:30:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",6,-58.44362126,-34.62301748,AUTO
